Date,Step count
9/14/2015,2704
9/15/2015,7987
9/16/2015,7872
9/17/2015,2894
9/18/2015,5242
9/19/2015,11223
9/20/2015,3862
9/21/2015,5159
9/22/2015,6958
9/23/2015,12930
9/24/2015,10874
9/25/2015,9113
9/26/2015,28796
9/27/2015,13184
9/28/2015,6368
9/29/2015,7182
9/30/2015,4537
10/1/2015,6154
10/2/2015,10014
10/3/2015,3850
10/4/2015,1354
10/5/2015,4663
10/6/2015,5682
10/7/2015,8199
10/8/2015,6926
10/9/2015,8589
10/10/2015,16591
10/11/2015,10989
10/12/2015,3036
10/13/2015,3746
10/14/2015,4694
10/15/2015,4159
10/16/2015,7122
10/17/2015,23480
10/18/2015,8313
10/19/2015,3870
10/20/2015,7063
10/21/2015,9969
10/22/2015,7568
10/23/2015,12410
10/24/2015,5166
10/25/2015,9466
10/26/2015,6680
10/27/2015,8814
10/28/2015,5069
10/29/2015,3166
10/30/2015,16488
10/31/2015,23189
11/1/2015,12741
11/2/2015,2815
11/3/2015,9746
11/4/2015,4568
11/5/2015,4918
11/6/2015,8493
11/7/2015,16569
11/8/2015,1154
11/9/2015,5575
11/10/2015,4341
11/11/2015,2994
11/12/2015,4928
11/13/2015,8032
11/14/2015,4482
11/15/2015,2258
11/16/2015,3339
11/17/2015,6151
11/18/2015,4452
11/19/2015,6057
11/20/2015,7788
11/21/2015,8980
11/22/2015,973
11/23/2015,3867
11/24/2015,5981
11/25/2015,4549
11/26/2015,1363
11/27/2015,4377
11/28/2015,6814
11/29/2015,7081
11/30/2015,7430
12/1/2015,4384
12/2/2015,3908
12/3/2015,8440
12/4/2015,11851
12/5/2015,9000
12/6/2015,5714
12/7/2015,1628
12/8/2015,3597
12/9/2015,2618
12/10/2015,7852
12/11/2015,6954
12/12/2015,13548
12/13/2015,7858
12/14/2015,5742
12/15/2015,3798
12/16/2015,4459
12/17/2015,3834
12/18/2015,8459
12/19/2015,11238
12/20/2015,3013
12/21/2015,2133
12/22/2015,10809
12/23/2015,9509
12/24/2015,4787
12/25/2015,8861
12/26/2015,5936
12/27/2015,767
12/28/2015,6910
12/29/2015,6235
12/30/2015,3189
12/31/2015,7677
1/1/2016,1999
1/2/2016,4666
1/3/2016,4655
1/4/2016,5438
1/5/2016,5579
1/6/2016,8190
1/7/2016,5114
1/8/2016,9981
1/9/2016,1329
1/10/2016,4307
1/11/2016,1653
1/12/2016,3352
1/13/2016,6990
1/14/2016,9275
1/15/2016,7217
1/16/2016,5162
1/17/2016,4564
1/18/2016,3723
1/19/2016,3081
1/20/2016,4681
1/21/2016,3912
1/22/2016,11853
1/23/2016,13318
1/24/2016,585
1/25/2016,5035
1/26/2016,4278
1/27/2016,2756
1/28/2016,1890
1/29/2016,1889
1/30/2016,2699
1/31/2016,1731
2/1/2016,916
2/2/2016,5484
2/3/2016,3793
2/4/2016,7183
2/5/2016,9809
2/6/2016,308
2/7/2016,3785
2/8/2016,7639
2/9/2016,4731
2/10/2016,8436
2/11/2016,8929
2/12/2016,6721
2/13/2016,5238
2/14/2016,5206
2/15/2016,2202
2/16/2016,6129
2/17/2016,7266
2/18/2016,11507
2/19/2016,6623
2/20/2016,11060
2/21/2016,3591
2/22/2016,4116
2/23/2016,4252
2/24/2016,5488
2/25/2016,5295
2/26/2016,5804
2/27/2016,7433
2/28/2016,269
2/29/2016,3227
3/1/2016,15919
3/2/2016,5475
3/3/2016,10843
3/4/2016,14699
3/5/2016,4860
3/6/2016,25737
3/7/2016,10674
3/8/2016,30675
3/9/2016,10290
3/10/2016,7265
3/11/2016,16533
3/12/2016,10069
3/13/2016,4422
3/14/2016,3653
3/15/2016,5396
3/16/2016,13008
3/17/2016,10750
3/18/2016,21940
3/19/2016,19717
3/20/2016,4852
3/21/2016,5276
3/22/2016,3130
3/23/2016,11392
3/24/2016,13705
3/25/2016,4764
3/26/2016,18506
3/27/2016,11682
3/28/2016,7635
3/29/2016,11882
3/30/2016,11420
3/31/2016,10068
4/1/2016,32423
4/2/2016,10219
4/3/2016,27347
4/4/2016,18658
4/5/2016,11854
4/6/2016,12645
4/7/2016,11054
4/8/2016,31548
4/9/2016,12599
4/10/2016,14355
4/11/2016,10150
4/12/2016,11013
4/13/2016,10037
4/14/2016,15457
4/15/2016,30200
4/16/2016,21023
4/17/2016,13702
4/18/2016,10582
4/19/2016,10231
4/20/2016,12486
4/21/2016,15651
4/22/2016,28903
4/23/2016,25266
4/24/2016,15396
