date,weight
2015-10-20 6:24:03,186.00839
2015-10-28 6:49:25,190.07373
2015-10-28 16:15:14,189.86871
2015-10-28 16:15:42,189.94144
2015-10-29 4:13:22,187.73021
2015-10-29 6:24:19,187.09967
2015-10-30 6:01:35,185.89156
2015-10-31 7:43:58,185.30292
2015-10-31 9:01:09,185.16843
2015-11-01 10:04:36,187.09087
2015-11-02 5:35:03,184.95238
2015-11-03 5:31:46,185.4793
2015-11-04 6:27:51,188.1072
2015-11-05 6:45:43,186.8704
2015-11-06 6:28:31,186.91891
2015-11-16 7:04:11,188.5371
2015-11-27 6:36:09,192.86037
2015-11-28 7:13:28,191.41632
2015-12-03 6:38:02,194.63287
2015-12-08 6:43:49,197.52094
2015-12-08 16:05:49,196.67436
2015-12-09 6:36:31,196.36792
2015-12-09 17:15:09,195.99533
2015-12-10 5:18:21,193.93402
2015-12-11 6:06:49,192.5892
2015-12-12 6:11:53,191.85728
2015-12-13 7:43:59,191.91899
2015-12-14 6:11:09,193.06538
2015-12-15 6:33:30,193.20209
2015-12-16 4:24:35,192.33786
2015-12-16 6:19:55,192.23865
2015-12-17 1:30:20,190.7307
2015-12-18 6:32:07,191.15619
2015-12-20 4:55:44,192.24306
2015-12-20 10:58:12,191.65222
2015-12-21 6:24:13,192.46574
2015-12-22 6:29:19,191.95206
2015-12-23 6:51:03,193.35861
2015-12-24 6:37:18,191.92783
2015-12-28 8:01:08,196.36792
2015-12-29 6:39:44,193.45561
2015-12-30 6:08:30,193.35861
2015-12-31 6:13:08,192.28276
2016-01-02 6:39:26,193.30789
2016-01-03 8:57:34,195.04074
2016-01-04 6:44:05,197.29164
2016-01-05 6:50:23,198.06548
2016-01-06 6:33:03,196.66335
2016-01-07 6:44:27,195.4971
2016-01-08 6:37:18,194.6461
2016-01-11 6:56:53,195.41551
2016-01-11 11:09:23,194.80484
2016-01-12 6:57:00,195.14655
2016-01-13 6:37:55,195.97108
2016-01-14 6:30:28,196.3569
2016-01-15 6:38:22,194.28896
2016-01-16 7:48:56,195.4089
2016-01-17 8:09:01,194.33746
2016-01-18 6:43:40,194.29556
2016-01-23 7:03:03,194.13463
2016-01-25 7:01:50,196.19374
2016-01-28 11:49:33,193.87892
2016-01-29 7:40:13,192.71486
2016-02-04 5:56:46,194.09496
2016-02-05 6:10:04,194.13463
2016-02-07 9:16:21,192.73248
2016-02-08 6:40:40,192.09094
2016-02-19 6:56:32,198.05006
2016-02-20 7:23:09,196.0725
2016-02-21 9:10:19,195.18402
2016-02-22 6:34:31,196.26651
2016-02-23 6:43:29,194.48297
2016-02-23 18:42:25,195.58528
2016-02-24 6:33:33,193.2925
2016-02-25 6:38:37,194.46973
2016-02-26 6:01:05,193.39609
2016-02-27 6:22:02,192.9596
2016-02-29 3:02:59,193.76205
2016-02-29 8:59:30,192.71486
2016-02-29 14:30:00,192.44371
2016-03-01 6:18:08,191.69853
2016-03-02 5:16:32,190.84093
2016-03-03 6:29:57,191.81316
2016-03-03 21:39:38,192.81627
2016-03-04 5:57:34,191.28406
2016-03-04 6:54:48,191.0724
2016-03-04 22:25:12,190.58739
2016-03-04 22:25:47,190.68661
2016-03-05 6:33:02,189.79814
2016-03-05 11:49:58,189.20068
2016-03-06 7:14:22,189.64825
2016-03-06 9:10:58,189.27563
2016-03-06 21:35:39,191.27083
2016-03-07 5:22:31,191.32153
2016-03-08 5:47:52,191.15839
2016-03-08 6:55:50,190.89163
2016-03-08 16:13:05,192.17032
2016-03-09 6:43:16,189.70113
2016-03-10 5:37:21,191.0085
2016-03-11 6:08:07,189.86208
2016-03-15 6:22:44,189.3021
2016-03-16 6:57:52,188.81267
2016-03-17 6:42:56,189.09708
2016-03-18 6:56:40,188.49521
2016-03-19 7:51:38,189.13455
2016-03-21 7:21:17,191.92119
2016-03-22 6:48:31,190.04947
2016-03-25 7:24:52,190.109
2016-03-31 6:05:32,192.9728
2016-04-01 7:59:17,191.39209
2016-04-02 5:41:29,192.0667
2016-04-03 9:47:41,192.17252
2016-04-04 6:22:24,192.28496
2016-04-05 6:30:41,193.19987
2016-04-05 17:08:32,196.96095
2016-04-05 22:00:22,197.8384
2016-04-06 6:40:02,195.48386
2016-04-06 7:01:44,195.03633
2016-04-07 5:23:32,194.5072
2016-04-08 5:15:44,195.47064
2016-04-09 6:56:02,193.94504
2016-04-10 9:10:07,193.22633
2016-04-11 6:27:28,192.70825
2016-04-12 6:26:14,192.24306
2016-04-13 2:44:35,191.47806
2016-04-13 6:24:18,191.04375
2016-04-14 5:46:39,192.22984
2016-04-14 22:51:21,192.39738
2016-04-15 5:29:59,191.23997
2016-04-16 6:24:38,191.80655
2016-04-17 7:21:51,190.42867
2016-04-17 14:12:09,189.00668
2016-04-17 17:34:58,189.3484
2016-04-18 2:30:54,189.47629
2016-04-18 6:36:40,188.22183
2016-04-19 4:55:05,187.67949
2016-04-20 5:39:36,186.99829
2016-04-21 6:20:02,187.91762
2016-04-22 5:57:21,187.46124
2016-04-23 5:28:06,186.15393
2016-04-23 8:37:02,185.81438
2016-04-24 7:42:03,185.78793
2016-04-25 5:52:35,184.45636
2016-04-26 6:24:34,184.04408
2016-04-27 5:23:32,184.13005
2016-04-27 6:17:36,183.87431
2016-04-28 6:14:45,185.64464
2016-04-29 5:11:31,185.80116
2016-04-30 5:33:04,184.67018
2016-05-01 4:57:51,184.19177
2016-05-02 5:58:26,182.09518
2016-05-03 7:01:47,181.53302
2016-05-04 6:10:08,180.8165
2016-05-06 6:15:40,180.92456
2016-05-06 6:18:23,181.05904
2016-05-07 4:08:36,180.75919
2016-05-07 7:18:57,180.23228
2016-05-09 6:36:17,179.72302
2016-05-10 6:34:46,179.85309
2016-05-11 6:13:24,178.14671
2016-05-12 6:12:43,177.34863
2016-05-26 16:17:45,177.73445
2016-05-27 3:51:03,175.19252
2016-06-01 6:31:05,175.03598
2016-06-03 5:47:51,174.09244
2016-06-04 6:51:50,173.90503
2016-06-04 9:30:03,173.57213
2016-06-07 6:18:53,172.83357
2016-06-10 6:34:58,174.4231
2016-06-15 9:37:41,169.59941
2016-06-20 6:38:52,172.0774
2016-06-21 6:13:41,171.75993
2016-06-22 6:18:45,171.01695
2016-06-27 6:37:40,168.22813
2016-06-28 6:30:48,168.94682
2016-06-29 6:23:21,169.78899
2016-07-22 5:13:18,167.71884
2016-07-22 6:34:59,167.49838
2016-07-23 6:50:12,166.52615
2016-07-24 9:56:33,165.68178
2016-07-25 2:06:25,166.38284
2016-07-25 7:11:32,166.0698
2016-08-11 6:50:33,174.39888
2016-08-13 8:56:06,173.45969
2016-08-14 6:28:11,174.49365
2016-08-15 6:38:01,176.25514
2016-08-16 6:10:44,173.7485
2016-08-17 6:19:47,172.2295
2016-08-18 5:26:03,172.2648
2016-08-19 5:11:35,171.11617
2016-08-20 6:59:57,172.05974
2016-08-22 6:49:17,171.33221
2016-08-23 6:45:48,171.34985
2016-08-24 6:23:43,170.28061
2016-08-25 4:25:15,171.08752
2016-08-28 7:13:06,174.23793
2016-08-29 6:39:16,172.72777
2016-08-30 6:45:01,174.34154
2016-08-31 6:31:52,174.3261
2016-09-01 5:24:27,174.51349
2016-09-02 5:55:30,172.752
2016-09-05 6:52:06,174.57964
2016-09-06 5:46:24,172.2802
2016-09-07 6:57:18,173.44867
2016-09-08 6:27:15,174.53554
2016-09-09 3:37:01,173.79478
2016-09-11 7:34:48,173.46411
2016-09-12 6:41:40,173.33842
2016-09-13 5:36:53,173.55228
2016-09-14 5:42:43,175.62465
2016-09-15 5:04:49,173.31638
2016-09-16 3:38:55,171.26167
2016-09-17 3:15:57,170.85164
2016-09-18 5:09:53,171.02359
2016-09-19 6:13:32,172.00021
2016-09-20 5:50:53,172.94159
2016-09-21 5:34:39,170.90013
2016-09-22 5:49:03,170.29605
2016-09-23 5:35:35,170.00945
2016-09-24 5:32:11,171.70702
2016-09-25 1:11:00,172.33092
2016-09-26 6:34:41,173.09372
2016-09-26 6:35:23,173.0915
2016-09-27 5:37:17,173.30977
2016-09-28 6:38:30,172.30446
2016-09-29 5:53:36,170.9905
2016-09-30 3:49:57,172.0774
2016-09-30 5:19:47,171.308
2016-10-01 8:54:19,171.06326
2016-10-02 7:41:13,172.5977
2016-10-03 6:57:51,171.5637
2016-10-04 5:50:29,172.59988
2016-10-05 5:19:22,172.49405
2016-10-06 6:17:25,172.60872
2016-10-07 7:04:29,172.68146
2016-10-11 6:35:44,173.17088
2016-10-12 6:51:19,173.16646
2016-10-13 6:21:53,174.077
2016-10-14 5:08:53,174.42091
2016-10-15 8:42:28,171.90321
2016-10-15 8:43:04,172.06857
2016-10-18 6:32:57,174.91914
2016-10-19 5:31:10,172.93057
2016-11-02 6:50:13,176.58804
2016-11-08 7:13:11,178.84558
2016-11-11 6:24:58,179.4254
2016-11-14 6:19:26,177.17888
2016-11-15 6:01:48,177.53603
2016-11-21 6:01:56,178.74637
2016-11-25 6:42:32,182.0092
2016-11-26 6:27:41,180.24332
2016-11-27 7:31:54,180.488
2016-12-04 9:54:26,179.54445
2016-12-05 6:49:59,178.11804
2016-12-06 7:45:32,177.78735
2016-12-07 6:19:19,178.29883
2016-12-07 6:19:42,178.53032
2016-12-09 6:55:18,179.05722
2016-12-12 7:06:04,181.03035
2016-12-13 6:25:33,178.45758
2016-12-14 7:14:48,181.07225
2016-12-15 6:03:49,180.89587
2016-12-16 6:24:01,181.3787
2016-12-17 6:59:14,180.30283
2016-12-18 9:54:10,178.40686
2016-12-19 6:28:34,179.63704
2016-12-20 6:13:09,179.31075
2016-12-21 6:03:08,178.03427
2016-12-22 4:11:27,178.656
2016-12-22 6:11:38,178.68465
2016-12-23 6:26:43,176.43594
2016-12-24 8:04:26,177.35745
2016-12-27 7:03:27,179.0859
2016-12-28 5:39:04,176.68724
2016-12-29 6:33:36,175.21017
2016-12-30 6:02:19,175.34242
2016-12-31 7:29:43,174.35475
2017-01-01 7:11:52,175.17488
2017-01-01 10:19:02,174.34154
2017-01-02 7:39:52,175.49234
2017-01-03 5:49:33,175.99721
2017-01-04 6:06:34,174.3746
2017-01-05 5:02:35,174.1321
2017-01-06 5:26:08,173.06726
2017-01-07 8:24:36,173.44646
2017-01-09 6:12:32,173.74408
2017-01-10 5:38:22,173.10693
2017-01-11 5:04:34,172.61531
2017-01-12 6:23:22,174.02849
2017-01-13 9:15:26,173.06285
2017-01-14 8:31:32,173.06505
2017-01-15 6:00:29,173.30536
2017-01-16 6:15:48,173.67355
2017-01-17 6:03:16,173.30977
2017-01-18 6:09:19,172.69028
2017-01-19 6:03:33,172.59329
2017-01-20 6:21:47,172.57784
2017-01-21 6:20:38,171.9451
2017-01-22 8:34:51,174.28421
2017-01-23 5:45:03,172.21848
2017-01-24 6:07:13,172.946
2017-01-25 6:05:04,170.68626
2017-01-26 4:52:19,171.53505
2017-01-27 5:30:07,172.07298
2017-01-28 6:02:03,169.51784
2017-01-29 7:11:09,169.5046
2017-01-30 6:24:29,171.11395
2017-01-31 6:09:31,170.08
2017-02-01 5:28:54,170.177
2017-02-02 5:13:17,169.20256
2017-02-03 6:01:05,167.128
2017-02-04 5:01:03,169.1783
2017-02-05 6:23:06,167.47412
2017-02-06 5:53:41,167.14345
2017-02-07 6:04:45,166.64961
2017-02-08 5:31:20,167.33524
2017-02-09 5:55:34,168.56763
2017-02-10 4:52:45,167.07951
2017-02-11 6:02:20,166.66724
2017-02-12 7:23:59,165.38194
2017-02-13 5:32:20,167.86217
2017-02-14 6:02:59,166.18442
2017-02-15 5:58:34,165.09094
2017-02-16 5:55:22,166.23073
2017-02-17 6:11:25,166.3652
2017-02-18 7:28:35,164.5354
2017-02-19 7:26:52,165.69499
2017-02-20 4:50:23,164.28624
2017-02-21 6:30:55,163.30078
2017-02-22 6:04:36,163.42424
2017-02-23 5:37:32,165.28714
2017-02-24 5:46:20,165.9375
2017-02-25 5:05:30,164.01952
2017-02-26 5:55:36,164.00848
2017-02-27 6:12:28,161.89423
2017-02-28 5:27:22,162.11469
2017-03-01 5:53:20,161.4048
2017-03-02 5:50:09,160.48988
2017-03-03 5:45:58,159.41403
2017-03-04 6:03:26,158.75044
2017-03-05 6:59:57,157.69662
2017-03-06 6:12:47,157.5335
2017-03-07 5:04:09,157.14767
2017-03-08 5:34:18,156.62518
2017-03-09 3:06:33,157.04189
2017-03-10 5:40:20,155.59341
2017-03-11 5:44:34,155.05331
2017-03-12 8:04:16,154.4911
2017-03-13 5:07:48,154.05902
2017-03-14 5:38:56,154.20453
2017-03-15 5:41:22,152.76268
2017-03-16 5:31:31,153.64456
2017-03-17 6:03:26,153.15732
2017-03-18 7:25:24,154.02592
2017-03-19 8:11:56,152.78476
2017-03-20 5:34:47,153.99066
2017-03-21 5:27:08,153.4241
2017-03-22 6:01:11,152.47832
2017-03-23 5:35:21,153.33812
2017-03-24 5:19:49,153.31604
2017-03-25 8:16:00,152.72523
2017-03-26 7:36:14,151.84116
2017-03-27 7:22:43,153.97523
2017-03-28 5:37:11,152.63484
2017-03-29 5:44:08,151.87422
2017-03-30 6:13:50,151.42009
2017-03-31 5:00:04,150.51839
2017-04-01 5:04:00,151.01001
2017-04-02 8:06:23,149.44032
2017-04-03 6:26:08,150.75871
2017-04-03 6:26:32,150.68813
2017-04-04 5:29:32,150.90858
2017-04-04 5:31:17,150.50076
2017-04-05 6:20:01,148.82523
2017-04-06 5:56:28,147.83315
2017-04-07 6:24:52,148.02715
2017-04-08 6:29:47,148.11534
2017-04-09 7:03:44,147.96324
2017-04-10 6:01:18,146.98436
2017-04-11 5:31:53,146.9028
2017-04-12 5:36:10,148.47913
2017-04-13 5:44:37,148.618
2017-04-14 5:35:16,146.97334
2017-04-15 6:06:25,147.53772
2017-04-16 7:28:20,146.28549
2017-04-17 5:49:48,145.56459
2017-04-18 6:02:32,145.29562
2017-04-19 5:52:54,144.11398
2017-04-20 5:33:44,145.20303
2017-04-21 6:17:36,145.76523
2017-04-22 10:30:44,144.93849
2017-04-23 5:36:45,144.33444
2017-04-24 5:27:40,144.05443
2017-04-25 5:32:45,143.06677
2017-04-26 5:42:24,143.26958
2017-04-27 5:33:27,144.58354
2017-04-28 5:16:46,143.47023
2017-04-29 4:53:02,143.2718
2017-04-30 5:35:14,144.61002
2017-05-01 4:45:14,144.1316
2017-05-02 5:16:56,143.1263
2017-05-03 4:11:04,142.37894
2017-05-04 5:23:12,140.8379
2017-05-05 4:31:55,139.71573
2017-05-06 5:33:57,139.48647
2017-05-07 5:35:35,139.64297
2017-05-08 5:34:41,141.00984
2017-05-09 5:31:17,139.20206
2017-05-10 6:56:02,138.46793
2017-05-11 5:44:41,139.4578
2017-05-12 5:30:47,137.85944
2017-05-13 6:52:23,138.65091
2017-05-14 7:02:26,139.53055
2017-05-15 5:32:40,137.94102
2017-05-16 5:53:56,137.06136
2017-05-17 5:29:49,137.48465
2017-05-18 6:32:59,138.24968
2017-05-19 6:32:15,138.05344
2017-05-20 6:15:46,137.79991
2017-05-21 6:49:45,137.42514
2017-05-22 6:13:45,136.35811
2017-05-23 6:51:23,135.48285
2017-05-24 5:47:09,134.83913
2017-05-25 8:30:53,134.96698
2017-05-26 6:05:56,134.85454
2017-05-26 10:01:18,134.3563
2017-05-27 6:25:17,133.44798
2017-05-28 5:02:59,135.16098
2017-05-29 5:29:02,134.83029
2017-05-30 5:52:27,137.6919
2017-05-31 6:29:18,136.24345
2017-06-01 5:11:42,134.81706
2017-06-02 4:51:12,134.00575
2017-06-03 5:34:06,134.83691
2017-06-04 6:13:21,134.87659
2017-06-05 5:15:17,134.74872
2017-06-06 6:12:17,133.43697
2017-06-07 6:17:53,133.02031
2017-06-08 7:43:04,132.9718
2017-06-09 7:10:22,133.43477
2017-06-10 6:21:42,133.44357
2017-06-11 7:04:54,135.34178
2017-06-12 5:09:48,135.03972
2017-06-13 6:43:20,133.86246
2017-06-14 6:33:06,133.96167
2017-06-14 6:33:28,133.95287
2017-06-15 6:37:32,134.18877
2017-06-17 7:27:23,134.60101
2017-06-19 6:03:38,134.49078
2017-06-20 5:09:53,133.43256
2017-06-21 6:10:56,132.09215
2017-06-22 5:50:34,134.1226
2017-06-23 7:21:27,137.51772
2017-06-24 6:19:18,135.18523
2017-06-25 6:02:48,135.31532
2017-06-26 3:26:38,135.31972
2017-06-27 6:26:22,134.58557
2017-06-28 5:48:54,133.6442
2017-06-29 5:09:02,133.75665
2017-06-30 4:47:31,132.94977
2017-07-01 5:50:21,132.00836
2017-07-02 6:44:09,131.6909
2017-07-03 5:12:58,132.75574
2017-07-04 6:38:18,132.50441
2017-07-05 6:07:37,131.81216
2017-07-06 4:32:38,133.49428
2017-07-07 6:10:04,132.94313
2017-07-08 6:31:46,132.61023
2017-07-09 7:26:15,132.40964
2017-07-10 5:05:03,133.53397
2017-07-11 6:44:48,133.56703
2017-07-12 5:55:50,132.7359
2017-07-13 5:53:32,133.37746
2017-07-14 4:16:48,131.72618
2017-07-15 7:04:34,131.36241
2017-07-16 7:05:40,130.55112
2017-07-17 6:41:59,129.61856
2017-07-18 6:28:05,130.11462
2017-07-19 8:25:35,131.02951
2017-07-20 6:37:34,130.66356
2017-07-21 7:35:53,131.78131
2017-07-22 6:55:30,132.36552
2017-07-23 4:34:30,129.08725
2017-07-24 4:50:26,128.24728
2017-07-25 5:53:34,128.3024
2017-07-26 6:31:37,129.51276
2017-07-27 6:38:37,129.3099
2017-07-28 4:07:02,130.9612
2017-07-29 5:25:39,129.01231
2017-07-30 6:34:37,128.93953
2017-07-31 4:47:21,129.73543
2017-08-01 4:22:03,129.81256
2017-08-02 7:32:04,129.43336
2017-08-03 6:32:37,129.99554
2017-08-04 4:04:18,132.34348
2017-08-05 8:09:15,133.3047
2017-08-06 5:50:34,133.14598
2017-08-07 6:17:29,132.11421
2017-08-08 7:06:48,131.12653
2017-08-09 4:51:16,129.91399
2017-08-10 7:12:55,129.48187
2017-08-11 4:38:44,130.41443
2017-08-12 6:56:45,128.97263
2017-08-13 6:41:38,129.64061
2017-08-14 7:36:01,128.52286
2017-08-15 6:08:09,129.52156
2017-08-16 6:47:11,128.65515
2017-08-17 7:44:15,129.70013
2017-08-18 7:58:24,131.71295
2017-08-19 3:59:15,132.62567
2017-08-19 14:04:58,131.65121
2017-08-20 7:50:27,130.2072
2017-08-21 6:51:03,128.30022
2017-08-22 5:02:09,129.45323
2017-08-23 3:58:12,129.30771
2017-08-24 5:47:32,128.81168
2017-08-25 4:53:08,129.99117
2017-08-25 4:53:47,129.7861
2017-08-26 6:10:58,128.06432
2017-08-27 8:12:33,130.33727
2017-08-28 4:32:07,131.09567
2017-08-29 4:59:52,129.72438
2017-08-30 4:05:10,129.17543
2017-08-31 5:01:56,129.03874
2017-09-01 2:55:37,127.678505
2017-09-02 5:47:19,127.65425
2017-09-03 6:01:34,127.982735
2017-09-04 4:00:13,128.85355
2017-09-05 3:06:42,128.52948
2017-09-06 3:55:07,129.16661
2017-09-07 6:00:53,128.94174
2017-09-08 4:09:34,129.57005
2017-09-08 7:19:24,129.537
2017-09-09 6:14:10,130.42545
2017-09-10 6:52:20,132.23103
2017-09-11 2:46:11,129.15118
2017-09-12 3:45:43,128.91528
2017-09-13 2:58:49,130.29097
2017-09-14 4:08:04,130.36372
2017-09-15 4:50:25,129.03874
2017-09-16 7:30:27,127.81738
2017-09-17 8:10:43,128.02905
2017-09-18 6:33:39,129.67148
2017-09-19 4:04:34,128.81168
2017-09-20 4:44:55,128.99023
2017-09-21 4:28:09,130.86198
2017-09-22 4:21:13,131.57626
2017-09-23 6:30:12,129.61856
2017-09-24 7:08:45,130.31084
2017-09-25 4:24:22,131.33597
2017-09-26 5:36:17,127.51536
2017-09-27 4:36:52,128.38399
2017-09-28 4:49:20,129.59874
2017-09-28 15:10:18,131.9224
2017-09-29 4:49:41,129.64502
2017-09-30 4:39:05,130.07492
2017-10-01 7:28:53,131.03395
2017-10-02 6:05:57,130.17413
2017-10-03 3:17:19,129.74644
2017-10-04 5:14:12,128.9131
2017-10-05 3:12:32,128.4832
2017-10-06 3:37:43,130.6371
2017-10-06 6:30:25,130.57758
2017-10-07 5:34:51,132.15828
2017-10-08 5:08:59,132.60141
2017-10-09 3:15:57,134.31223
2017-10-10 3:29:54,135.29108
2017-10-11 4:41:32,131.85405
2017-10-12 4:08:03,129.88972
2017-10-13 4:04:58,130.81567
2017-10-14 5:37:45,132.58818
2017-10-15 6:53:19,132.39197
2017-10-16 6:12:01,133.53397
2017-10-17 4:41:27,131.80556
2017-10-18 4:05:52,129.4003
2017-10-19 4:51:39,131.06041
2017-10-20 4:40:00,131.92021
2017-10-21 5:04:28,131.46603
2017-10-22 7:05:51,134.36952
2017-10-23 4:06:29,133.96167
2017-10-24 3:23:04,132.57495
2017-10-25 2:53:29,131.81216
2017-10-26 4:49:43,130.4497
2017-10-27 4:49:35,130.81787
2017-10-28 6:38:38,130.96558
2017-10-29 7:41:45,132.08553
2017-10-30 3:40:39,133.58908
2017-10-31 3:21:19,133.10628
2017-11-01 5:12:08,130.34389
2017-11-02 5:33:06,130.93913
2017-11-03 1:44:15,130.97
2017-11-04 7:20:23,133.84264
2017-11-05 5:22:37,133.6839
2017-11-06 3:54:35,134.09395
2017-11-07 4:54:05,131.28087
2017-11-08 3:25:23,130.95677
2017-11-08 6:11:23,131.20369
2017-11-09 4:09:17,132.57275
2017-11-10 5:29:22,130.38797
2017-11-11 7:01:45,133.06438
2017-11-12 6:44:40,134.71785
2017-11-13 5:43:36,133.48769
2017-11-13 6:31:33,133.99916
2017-11-13 9:40:48,133.17241
2017-11-14 6:38:11,135.6526
2017-11-15 6:22:46,134.45992
2017-11-16 6:23:49,136.32062
2017-11-16 14:01:38,136.63808
2017-11-17 6:40:44,133.63318
2017-11-18 6:27:27,131.99734
2017-11-19 6:44:39,132.56174
2017-11-20 6:43:24,136.95555
2017-11-21 6:29:21,132.5507
2017-11-22 6:32:28,130.79362
2017-11-23 3:14:58,130.66798
2017-11-24 7:11:37,134.08072
2017-11-25 7:57:10,135.66583
2017-11-26 7:56:13,135.66583
2017-11-27 6:42:54,135.37042
2017-11-28 6:04:30,134.00797
2017-11-29 6:19:36,131.84964
2017-11-30 5:07:05,130.55112
2017-11-30 6:43:36,130.45412
