Date,Steps
2015-09-14,2704
2015-09-15,7987
2015-09-16,7872
2015-09-17,2894
2015-09-18,5242
2015-09-19,11223
2015-09-20,3862
2015-09-21,5159
2015-09-22,6958
2015-09-23,12930
2015-09-24,10874
2015-09-25,9113
2015-09-26,28796
2015-09-27,13184
2015-09-28,6368
2015-09-29,7182
2015-09-30,4537
2015-10-01,6154
2015-10-02,10014
2015-10-03,3850
2015-10-04,1354
2015-10-05,4663
2015-10-06,5682
2015-10-07,8199
2015-10-08,6926
2015-10-09,8589
2015-10-10,16591
2015-10-11,10989
2015-10-12,3036
2015-10-13,3746
2015-10-14,4694
2015-10-15,4159
2015-10-16,7122
2015-10-17,23480
2015-10-18,8313
2015-10-19,3870
2015-10-20,7063
2015-10-21,9969
2015-10-22,7568
2015-10-23,12410
2015-10-24,5166
2015-10-25,9466
2015-10-26,6680
2015-10-27,8814
2015-10-28,5069
2015-10-29,3166
2015-10-30,16488
2015-10-31,23189
2015-11-01,12741
2015-11-02,2815
2015-11-03,9746
2015-11-04,4568
2015-11-05,4918
2015-11-06,8493
2015-11-07,16569
2015-11-08,1154
2015-11-09,5575
2015-11-10,4341
2015-11-11,2994
2015-11-12,4928
2015-11-13,8032
2015-11-14,4482
2015-11-15,2258
2015-11-16,3339
2015-11-17,6151
2015-11-18,4452
2015-11-19,6057
2015-11-20,7788
2015-11-21,8980
2015-11-22,973
2015-11-23,3867
2015-11-24,5981
2015-11-25,4549
2015-11-26,1363
2015-11-27,4377
2015-11-28,6814
2015-11-29,7081
2015-11-30,7430
2015-12-01,4384
2015-12-02,3908
2015-12-03,8440
2015-12-04,11851
2015-12-05,9000
2015-12-06,5714
2015-12-07,1628
2015-12-08,3597
2015-12-09,2618
2015-12-10,7852
2015-12-11,6954
2015-12-12,13548
2015-12-13,7858
2015-12-14,5742
2015-12-15,3798
2015-12-16,4459
2015-12-17,3834
2015-12-18,8459
2015-12-19,11238
2015-12-20,3013
2015-12-21,2133
2015-12-22,10809
2015-12-23,9509
2015-12-24,4787
2015-12-25,8861
2015-12-26,5936
2015-12-27,767
2015-12-28,6910
2015-12-29,6235
2015-12-30,3189
2015-12-31,7677
2016-01-01,1999
2016-01-02,4666
2016-01-03,4655
2016-01-04,5438
2016-01-05,5579
2016-01-06,8190
2016-01-07,5114
2016-01-08,9981
2016-01-09,1329
2016-01-10,4307
2016-01-11,1653
2016-01-12,3352
2016-01-13,6990
2016-01-14,9275
